商品名・メーカー名検索,メーカー名,商品名,羽田限定,東京限定,金額,入数,仏事,日持ち,おもたせ,取り扱い店舗
くるみのｸｯｷｰ,西光亭,くるみのｸｯｷｰ,0,0,1296,12,0,1,1,ピア１、ピア４、スマイルトーキョー、東京食賓館A
東京玉子本舗,東京玉子本舗,東京たまご　ごまたまご,0,0,0,0,0,0,0,-
たまや,東京玉子本舗,東京たまご　ごまたまご,0,0,0,0,0,0,0,-
東京たまご　ごまたまご,東京玉子本舗,東京たまご　ごまたまご,0,0,2106,18,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
東京たまご　ごまたまご,東京玉子本舗,東京たまご　ごまたまご,0,0,950,8,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
東京たまご　ごまたまご,東京玉子本舗,東京たまご　ごまたまご,0,0,1404,12,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館A、東京食賓館B
N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,たまや,N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,0,648,4,0,1,0,東京食賓館３、東京食賓館B
N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,たまや,N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,0,1296,8,0,1,1,東京食賓館３、東京食賓館B
N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,たまや,N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,0,1944,12,0,1,1,東京食賓館３、東京食賓館B
ニューヨークキャラメルサンド,たまや,N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,0,648,4,0,1,1,東京食賓館３、東京食賓館B
ニューヨークキャラメルサンド,たまや,N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,0,1296,8,0,1,1,東京食賓館３、東京食賓館B
ニューヨークキャラメルサンド,たまや,N.Y.ｷｬﾗﾒﾙｻﾝﾄﾞ,0,0,1944,12,0,1,1,東京食賓館３、東京食賓館B
築地ちとせ,築地ちとせ,天ぷらせんべい,0,0,0,0,0,0,0,-
天ぷらせんべい,築地ちとせ,天ぷらせんべい,0,0,1306,12,0,1,1,スマイルトーキョー
東京ﾐﾙｸﾁｰｽﾞ工場,東京ﾐﾙｸﾁｰｽﾞ工場,ｿﾙﾄ&ｶﾏﾝﾍﾞｰﾙｸｯｷ,0,0,,,0,1,1,洋菓子館、東京食賓館B
ｿﾙﾄ&ｶﾏﾝﾍﾞｰﾙｸｯｷ,東京ﾐﾙｸﾁｰｽﾞ工場,ｿﾙﾄ&ｶﾏﾝﾍﾞｰﾙｸｯｷ,0,0,1080,10,0,1,1,洋菓子館、東京食賓館B
ｿﾙﾄ&ｶﾏﾝﾍﾞｰﾙｸｯｷ,東京ﾐﾙｸﾁｰｽﾞ工場,ｿﾙﾄ&ｶﾏﾝﾍﾞｰﾙｸｯｷ,0,0,2160,20,0,1,1,洋菓子館、東京食賓館B
常盤堂雷おこし本舗,常盤堂雷おこし本舗,かみなりおこし、人形焼き,0,0,0,0,0,0,0,-
かみなりおこし,常盤堂雷おこし本舗,かみなりおこし,0,0,1296,32,0,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
かみなりおこし,常盤堂雷おこし本舗,かみなりおこし,0,0,648,16,0,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
人形焼き,常盤堂雷おこし本舗,人形焼き,0,0,864,8,0,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
豊島屋,豊島屋,鳩ｻﾌﾞﾚｰ,0,0,0,0,0,0,0,-
鳩ｻﾌﾞﾚｰ,豊島屋,鳩ｻﾌﾞﾚｰ,0,0,1080,8,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館B
鳩ｻﾌﾞﾚｰ,豊島屋,鳩ｻﾌﾞﾚｰ,0,0,540,4,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館B
鳩ｻﾌﾞﾚｰ,豊島屋,鳩ｻﾌﾞﾚｰ,0,0,5400,44,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館B
鳩ｻﾌﾞﾚｰ,豊島屋,鳩ｻﾌﾞﾚｰ,0,0,3240,25,1,1,1,ピア１、ピア４、和菓子館、スマイルトーキョー、東京食賓館B
虎屋,虎屋,小形羊羹、最中,0,0,0,0,0,0,0,-
小形羊羹,虎屋,小形羊羹,0,0,2160,7,1,1,1,和菓子館、金の翼、ピア１、ピア４、東京食賓館A
小形羊羹,虎屋,小形羊羹,0,0,3240,10,1,1,1,和菓子館、金の翼、ピア１、ピア４、東京食賓館A
小形羊羹,虎屋,小形羊羹,0,0,4320,14,1,1,1,和菓子館、金の翼、ピア１、ピア４、東京食賓館A
最中,虎屋,最中,0,0,1620,6,1,1,1,和菓子館、金の翼、ピア１、ピア４、東京食賓館A
最中,虎屋,最中,0,0,2484,9,1,1,1,和菓子館、金の翼、ピア１、ピア４、東京食賓館A
東京ひよ子,東京ひよ子,ひよ子,0,0,0,0,0,0,0,-
ひよ子,東京ひよ子,ひよ子,0,0,1005,6,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
ひよ子,東京ひよ子,ひよ子,0,0,1620,10,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
ひよ子,東京ひよ子,ひよ子,0,0,1912,12,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
ひよ子,東京ひよ子,ひよ子,0,0,1140,7,1,1,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
梅月堂,梅月堂,ﾗﾑﾄﾞﾗ,0,0,0,0,0,0,0,-
ﾗﾑﾄﾞﾗ,梅月堂,ﾗﾑﾄﾞﾗ,0,0,2484,6,0,0,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
ﾗﾑﾄﾞﾗ,梅月堂,ﾗﾑﾄﾞﾗ,0,0,1296,3,0,0,1,"ピア１、ピア４、スマイルトーキョー、東京食賓館B,東京食賓館A"
坂角総本舗,坂角総本舗,さくさく日記,0,0,0,0,0,0,0,-
さくさく日記,坂角総本舗,さくさく日記,0,0,1080,10,0,1,1,和菓子館
さくさく日記,坂角総本舗,さくさく日記,0,0,648,6,0,1,1,和菓子館
ゆかり,坂角総本舗,ゆかり,0,0,691,8,0,1,1,和菓子館
ゆかり,坂角総本舗,ゆかり,0,0,1080,12,1,1,1,和菓子館
ゆかり,坂角総本舗,ゆかり,0,0,1620,18,1,1,1,和菓子館
ﾊﾞﾀｰﾊﾞﾄﾗｰ,ﾊﾞﾀｰﾊﾞﾄﾗｰ,ﾊﾞﾀｰﾌｨﾅﾝｼｪ,0,0,0,0,0,0,0,-
ﾊﾞﾀｰﾌｨﾅﾝｼｪ,ﾊﾞﾀｰﾊﾞﾄﾗｰ,ﾊﾞﾀｰﾌｨﾅﾝｼｪ,0,0,864,4,0,1,1,スマイルトーキョー
ﾊﾞﾀｰﾌｨﾅﾝｼｪ,ﾊﾞﾀｰﾊﾞﾄﾗｰ,ﾊﾞﾀｰﾌｨﾅﾝｼｪ,0,0,1620,8,0,1,1,スマイルトーキョー
広尾瓢月堂,広尾瓢月堂,六瓢息災,0,0,0,0,0,0,0,-
六瓢息災,広尾瓢月堂,六瓢息災,0,0,2332,12,0,1,1,東京食賓館３、スマイルトーキョー
六瓢息災,広尾瓢月堂,六瓢息災,0,0,3888,20,0,1,1,東京食賓館３、スマイルトーキョー
